document_id,document_name,type,folder_id,path,level
240,Run glossary,0,234,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Document folders/Manage document folder,6
241,Generate document folder statistics,0,234,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Document folders/Manage document folder,6
242,Perform global find,0,234,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Document folders/Manage document folder,6
242,Perform global find,0,258,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Documents/Manage document,6
243,Perform global find & replace,0,234,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Document folders/Manage document folder,6
243,Perform global find & replace,0,258,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Documents/Manage document,6
245,Rename document folder,0,244,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Document folders/Manage document folder properties,6
246,Maintain document folder properties,0,244,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Document folders/Manage document folder properties,6
250,Create blank document,0,249,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Documents/Create document,6
251,Create document from template,0,249,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Documents/Create document,6
252,Create side window,0,249,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Documents/Create document,6
253,Copy document,0,249,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Documents/Create document,6
254,Create reusable content,0,249,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Documents/Create document,6
255,Localize document,0,249,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Documents/Create document,6
256,Branch document,0,249,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Documents/Create document,6
257,Branch localize document,0,249,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Documents/Create document,6
259,Rename document,0,258,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Documents/Manage document,6
260,Reference document,0,258,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Documents/Manage document,6
261,View document history,0,258,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Documents/Manage document,6
262,Compare document versions,0,258,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Documents/Manage document,6
263,Maintain document properties,0,258,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Documents/Manage document,6
264,Maintain multiple document properties,0,258,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Documents/Manage document,6
279,Permissions examples,2,278,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Content permissions & ownership/Examples,6
299,Merge changes example,2,298,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Localizations/Examples,6
308,Switch language view,0,307,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Documents view,6
309,Document folders,4,307,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Documents view,6
311,Documents,4,307,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Documents view,6
313,Import & export translations,4,307,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Documents view,6
314,Translation management,4,307,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Documents view,6
317,Review Editor translation tools,0,316,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Editor,6
318,Manage Editor tools,0,316,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Editor,6
319,Document content,4,316,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Editor,6
326,Image maps,4,316,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Editor,6
329,Save & release,4,316,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Editor,6
